"Alpha_3","nState","adminLevel","adm1InCovid","adm0InCovid","Lat","Long","n","date","nNewToday","nNewIn7Days","nNewIn14Days","t0","tlead7","tlead14","dateFirstInfection","lambdaFromAlgebraLag7","lambdaFromAlgebraLag14","Alpha_2","Name","Official_name","Common_name","TempLag14mean","TempLag7mean","TempLag14max","TempLag7max","TempLag14min","TempLag7min","rhLag14mean","rhLag7mean","rhLag14max","rhLag7max","rhLag14min","rhLag7min","uvLag14mean","uvLag7mean","uvLag14max","uvLag7max","uvLag14min","uvLag7min","ahLag14mean","ahLag7mean","ahLag14max","ahLag7max","ahLag14min","ahLag7min","nLead7","nLead14","admPop","nCells","popDenPerQD","admOld","propOld"
"CHN",31,1,"Hubei","China",30.9756,112.2707,444,"2020-01-22",NA,3110,19221,2020-01-22,"2020-01-29","2020-02-05","2020-01-22",0.297143492326053,0.27076936588812,"CN","China","People's Republic of China",NA,3.98799483688682,4.01516719370783,7.06330147814088,7.03061337088033,1.21085990735806,1.21973647337942,86.932300354137,84.8236126955708,97.3174080665904,94.1709995876075,70.4502816669074,72.3462813054368,33851.7904211164,38237.3950288543,56890.8616437032,56334.6696358729,9218.52718622117,9974.46782084393,5.56440436060331,5.44519567916898,6.84253648315676,6.67088440706091,4.69944125629485,4.78299098469394,3554,19665,39082109.3701172,281,139082.239751307,7156828.07177734,0.183122870979159
"CHN",31,1,"Guangdong","China",23.3417,113.4244,53,"2020-01-24",21,383,981,2020-01-24,"2020-01-31","2020-02-07","2020-01-22",0.301050047113845,0.212207010108304,"CN","China","People's Republic of China",NA,17.2021907623794,16.8491102177671,21.6458601898927,21.6372530771899,13.1614107895224,13.2496221656421,75.217514138524,75.7695570234762,85.1162530907339,84.5549147056894,62.0304411983858,65.5856689023769,48888.3204708869,45190.0844981583,68819.7673960464,60077.1251505808,23982.2456517735,25103.2656260144,11.341718403395,11.2448034022213,15.9268635147416,15.8863226607952,7.7799800966912,8.10351061731737,436,1034,78885424.6962891,252,313037.399588449,10536237.5516357,0.13356380588937
"CHN",31,1,"Xizang","China",29.1832,120.0934,43,"2020-01-24",16,495,963,2020-01-24,"2020-01-31","2020-02-07","2020-01-22",0.360951206352603,0.225181231069009,"CN","China","People's Republic of China",NA,-12.2279128121694,-11.6598206012735,-7.08212239624049,-8.16422912873806,-17.8603739875376,-14.5435545226489,51.7727501850904,57.7399490030236,71.514312380552,70.7636148614011,29.4519673667062,44.3587680549764,76442.931679165,74866.6189643983,82750.925040743,80574.2646670206,66062.299867082,67400.9295734997,0.968111410146867,1.1704978795645,1.86571723279751,1.83127825918968,0.346409564612269,0.699360520370506,538,1006,2196564.52374268,559,3929.45353084557,257267.834414006,0.117122821402784
"CHN",31,1,"Beijing","China",40.1824,116.4142,41,"2020-01-25",5,127,274,2020-01-25,"2020-02-01","2020-02-08","2020-01-22",0.201484558956993,0.145642898008666,"CN","China","People's Republic of China",NA,-4.41535339626649,-3.18524212781924,-0.77370383419139,-0.77370383419139,-7.82808377598973,-5.30021462315687,59.4585464956243,58.1444363851276,74.9933904837902,74.6197366266036,36.747042514149,36.747042514149,39415.4579843031,41381.6159678479,44284.6974803267,43335.5795126851,24777.6983522455,35058.9807349659,2.13042446527989,2.25172778115053,2.7843537541851,2.72834476724674,1.42670229009766,1.48740574280711,168,315,18499841.8681641,27,685179.328450521,3045129.24023438,0.164602987524702
"CHN",31,1,"Chongqing","China",30.0572,107.874,57,"2020-01-25",30,190,371,2020-01-25,"2020-02-01","2020-02-08","2020-01-22",0.209476724113347,0.144005137696232,"CN","China","People's Republic of China",NA,8.00195717506412,8.71989327896942,10.6242988676842,10.6242988676842,6.33735059821059,6.88047390096457,82.7655904651003,83.0474152600501,92.9048190289248,92.2795449170969,74.3668824810873,75.5548282888697,28367.675642347,26900.9387795437,55166.457711443,42288.3663152738,11793.4016025417,12635.2016119267,6.9197022446629,7.26722849475827,8.21036368573049,8.21036368573049,6.10612667014475,6.37333628754389,247,428,18960273.6953125,122,155412.079469775,4286766.45556641,0.226092013462138
"CHN",31,1,"Hunan","China",27.6104,111.7088,43,"2020-01-25",19,346,760,2020-01-25,"2020-02-01","2020-02-08","2020-01-22",0.314625603989269,0.2090824713038,"CN","China","People's Republic of China",NA,5.72352948090942,7.15309483145902,9.801288238517,9.801288238517,2.52613725329159,4.43214192362766,88.9048568249761,88.5464045606893,98.4384247507032,97.9295247438044,74.5734931128837,74.705751769165,25653.4422229314,23699.337844992,60164.0660070884,57811.422562981,4601.47708118564,6191.12354637931,6.41687097944882,7.01489595627245,8.32770555356914,8.32770555356914,5.16206444326108,5.70836766585697,389,803,47684893.4628906,307,155325.385872608,9070293.8840332,0.19021315190925
"CHN",31,1,"Anhui","China",31.8257,117.2264,60,"2020-01-26",21,280,719,2020-01-26,"2020-02-02","2020-02-09","2020-01-22",0.24780015076973,0.183119034546332,"CN","China","People's Republic of China",NA,3.71048636272305,5.22539285597425,6.87235647240903,6.87235647240903,0.805212824929888,3.68274617383782,86.3207016550377,84.7222236124981,97.3864010638881,95.9068254408546,66.9046603518889,67.0822608539796,29604.2267822562,29578.8346604455,55696.4095830884,55696.4095830884,9565.22612410752,12806.8922428115,5.45194932866628,5.9191886160412,7.17804228356254,7.17804228356254,4.19370559077665,4.63416338007401,340,779,41341125.609375,211,195929.505257701,8202326.14404297,0.198405970402096
"CHN",31,1,"Henan","China",33.882,113.614,83,"2020-01-26",51,410,950,2020-01-26,"2020-02-02","2020-02-09","2020-01-22",0.254524080892299,0.180098704380217,"CN","China","People's Republic of China",NA,1.98569010339657,3.28452725950982,4.72365394398849,4.72314574114501,-1.0246043879406,2.01001215679631,80.5141374252962,76.4409469909826,94.0662795203895,90.9399383660581,52.1506653472213,52.1506653472213,37903.5348161512,38867.9007407297,52542.1677785874,52542.1677785874,19649.8719246696,24600.1615723461,4.51005340762987,4.67218247191226,5.77395510257222,5.77395510257222,3.20606065146435,3.34495420242295,493,1033,67573171.0458984,258,261911.515681777,11349160.4631348,0.167953646210062
"CHN",31,1,"Shandong","China",36.3427,118.1498,46,"2020-01-26",19,184,398,2020-01-26,"2020-02-02","2020-02-09","2020-01-22",0.2299197017763,0.161941654710224,"CN","China","People's Republic of China",NA,0.902555449431217,2.47683105207247,3.92125489679801,3.91193993725353,-2.75969548549902,0.958404016557183,74.6952177390828,71.6039783140152,87.8976243282772,87.1043612902532,55.5338821823938,55.5350407040367,41018.169663419,43952.139807336,48719.2150570527,48719.2150570527,25743.5159305627,37279.8093481739,3.91475384350339,4.18182646912949,5.40719933549144,5.40719933549144,2.78501593741949,3.1028601248263,230,444,67290189.1484375,250,269160.75659375,12872599.9960938,0.191299804013
"CHN",31,1,"Sichuan","China",30.6171,102.7103,44,"2020-01-26",16,187,342,2020-01-26,"2020-02-02","2020-02-09","2020-01-22",0.236889725229076,0.155117695396184,"CN","China","People's Republic of China",NA,7.13477671090261,7.49698669190093,9.41313658534913,9.27337266022304,5.05032277723627,5.57546213038133,78.9160931259167,76.3606633677116,90.8715756138816,85.3247354806731,65.3159873442932,66.8218205155851,36067.9696504342,38658.5125330709,58703.7225813344,54687.4261816122,17421.7270764319,24168.9449804524,6.30171661719101,6.2458944800073,7.1813639636589,7.14731589675751,5.16848333845242,5.19805098270827,231,386,55404673.4667969,687,80647.2685106214,11693510.578824,0.211056393750461
